"rejection","mcmc"
0.0271548940881474,2.39446944788888
-0.711864016834059,2.38737339622606
0.572468408923391,2.76501644744283
-2.54809422602931,-0.0134172226335789
0.459081319457807,2.36094272225773
0.500885941989831,2.38911657082036
-1.89248415997313,1.5528080753938
0.810136522337146,2.71357428595316
-0.339644930948378,2.65719221034333
-1.42955967296024,0.364152924774472
-2.02701930268488,1.97307410324847
-0.263691819999335,2.61748952020323
-1.66834194260502,2.02059704267954
-1.00151088060299,1.18494002149509
-1.99770011923199,1.88545057641686
-0.334555211021782,2.40550286849116
1.53107490773277,2.88753033732988
0.227511861192248,2.01540983993107
-0.679338674388038,3.2439706418015
1.40050393607102,2.60547325794843
1.18330034491803,2.54976709836787
0.44019260974758,2.08867186476674
-0.0784872111050115,2.37974788667994
-0.65377774341155,2.67746889452501
-2.15141594698476,1.47650565029873
-0.66655785645236,2.1258516964786
0.825852042754334,2.74411329592836
-0.38756923877888,2.56073571933338
-0.0540702045152797,2.49585285669711
0.222767272422638,2.69720286479788
0.620579949209901,2.85283949074021
0.480918710885003,2.51370289488333
-1.47299244302861,2.2032133945337
-1.24275107882465,1.64020057205394
0.796749768020238,1.58894365170711
-2.91837339781927,-0.290427612310171
0.223283400975595,2.25378995346125
0.184563648871975,2.64963512328217
0.945869986051024,2.71972423250767
-2.1778732728292,1.89809930418978
-1.38140917061159,1.7770151405974
0.218314732652143,2.08733356173946
1.2381520823943,2.71681006954592
0.160033342755062,2.38902813250293
-1.31299535856024,1.66895530277957
-0.397435180656302,2.26979866458196
-0.175143848485372,1.60449746475914
-0.405324228360608,2.68316041038638
-1.771533503707,2.1272150113949
0.926953124981263,1.41487177220528
-0.251630237193894,2.36408173707674
2.47389875186856,2.75305085969853
-2.63878796376265,1.46639817810298
0.25719808015195,1.89772774218532
-0.195825948987803,1.85243927581235
1.3173548592463,1.78611945858449
0.0789795146080778,2.55260632864708
-0.829201632246668,1.86276026348931
0.787664928754329,2.50558623711597
0.210668628686394,2.16114829309319
0.620936868205191,2.7013904105349
-0.828458522446462,2.20741831438841
0.339914571708045,2.04590002300354
0.473241287098648,2.56523172372093
-0.16802096252775,2.34963749865358
-0.985017595039742,2.27770939649634
-0.673924625740562,2.02308595238639
1.11732780085899,2.64176076491263
-2.23036250920447,1.38243836055253
-0.103659203872004,2.13808303414239
-3.01039511033509,-0.492946720411451
0.367095131425418,2.70026051499928
0.536027090062838,2.80033215919507
0.292024743941126,1.38059848361319
0.878025707239416,2.51853513908492
0.227541707432624,2.64326481143733
0.354423453495968,1.46246497815395
-0.999967139207704,1.90781489823644
0.36549911542689,1.88322241448414
0.113854336114955,1.76546839817927
-0.10237425245044,1.48185513733629
-2.48998299355535,0.327787800205238
2.53980029266587,2.17149077697961
-0.15119733176859,1.92621568316714
0.152221064543807,1.75915217430134
0.7861197861309,2.10661482801551
0.216956603434437,1.51750892428236
0.171979041794669,2.04840007169001
-0.912644535548107,2.01938113680432
-2.20135163023458,1.77609905143956
0.438498312777956,2.30732137102065
-1.49418814686158,1.89853025572529
-1.91246498757979,0.498207082494722
-1.51617106783199,1.5155373868685
-0.477802741746482,2.20172051121637
0.257351045958718,1.18368402384068
-0.399581736692574,2.54792602962982
-0.263948870528316,1.57294278249193
1.97239748846371,2.66477630364674
-0.790815440368797,2.64255065320999
